NO;DATE;GULAPASIRLOKAL
370;31/05/2019;13000
371;03/06/2019;13050
372;04/06/2019;13050
373;05/06/2019;-
374;06/06/2019;13000
375;07/06/2019;13200
376;10/06/2019;13050
377;11/06/2019;13050
378;12/06/2019;13050
379;13/06/2019;13050
380;14/06/2019;13050
381;17/06/2019;13050
382;18/06/2019;13000
383;19/06/2019;13000
384;20/06/2019;13000
385;21/06/2019;13000
386;24/06/2019;13000
387;25/06/2019;13000
388;26/06/2019;13000
389;27/06/2019;13000
390;28/06/2019;13000
391;01/07/2019;13000
392;02/07/2019;13000
393;03/07/2019;13000
394;04/07/2019;13000
395;05/07/2019;13000
396;08/07/2019;13000
397;09/07/2019;13000
398;10/07/2019;13000
399;11/07/2019;13000
400;12/07/2019;13000
401;15/07/2019;12950
402;16/07/2019;13000
403;17/07/2019;13000
404;18/07/2019;13000
405;19/07/2019;13000
406;22/07/2019;12950
407;23/07/2019;12950
408;24/07/2019;12950
409;25/07/2019;12950
410;26/07/2019;12950
411;29/07/2019;12950
412;30/07/2019;12900
413;31/07/2019;12900
414;01/08/2019;12900
415;02/08/2019;12900
416;05/08/2019;12900
417;06/08/2019;12900
418;07/08/2019;12900
419;08/08/2019;12900
420;09/08/2019;12900
421;12/08/2019;12900
422;13/08/2019;12900
423;14/08/2019;12850
424;15/08/2019;12900
425;16/08/2019;12850
426;19/08/2019;12900
427;20/08/2019;12850
428;21/08/2019;12900
429;22/08/2019;12900
430;23/08/2019;12900
431;26/08/2019;12850
432;27/08/2019;12850
433;28/08/2019;12850
434;29/08/2019;12850
435;30/08/2019;12850
436;02/09/2019;12900
437;03/09/2019;12900
438;04/09/2019;12900
439;05/09/2019;12850
440;06/09/2019;12850
441;09/09/2019;12850
442;10/09/2019;12850
443;11/09/2019;12850
444;12/09/2019;12850
445;13/09/2019;12850
446;16/09/2019;12850
447;17/09/2019;12850
448;18/09/2019;12850
449;19/09/2019;12850
450;20/09/2019;12850
451;23/09/2019;12850
452;24/09/2019;12850
453;25/09/2019;12850
454;26/09/2019;12850
455;27/09/2019;12850
456;30/09/2019;12850
457;01/10/2019;12850
458;02/10/2019;12850
459;03/10/2019;12900
460;04/10/2019;12900
461;07/10/2019;12850
462;08/10/2019;12850
463;09/10/2019;12850
464;10/10/2019;12850
465;11/10/2019;12850
466;14/10/2019;12900
467;15/10/2019;12900
468;16/10/2019;12950
469;17/10/2019;12950
470;18/10/2019;12950
471;21/10/2019;12950
472;22/10/2019;13000
473;23/10/2019;13000
474;24/10/2019;13000
475;25/10/2019;13000
476;28/10/2019;13050
477;29/10/2019;13050
478;30/10/2019;13050
479;31/10/2019;13050
480;01/11/2019;13050
481;04/11/2019;13050
482;05/11/2019;13050
483;06/11/2019;13050
484;07/11/2019;13050
485;08/11/2019;13050
486;11/11/2019;13050
487;12/11/2019;13050
488;13/11/2019;13000
489;14/11/2019;13050
490;15/11/2019;13050
491;18/11/2019;13050
492;19/11/2019;13050
493;20/11/2019;13050
494;21/11/2019;13050
495;22/11/2019;13050
496;25/11/2019;13050
497;26/11/2019;13050
498;27/11/2019;13050
499;28/11/2019;13050
500;29/11/2019;13050
501;02/12/2019;13050
502;03/12/2019;13050
503;04/12/2019;13050
504;05/12/2019;13050
505;06/12/2019;13050
506;09/12/2019;13050
507;10/12/2019;13100
508;11/12/2019;13100
509;12/12/2019;13100
510;13/12/2019;13100
511;16/12/2019;13100
512;17/12/2019;13100
513;18/12/2019;13150
514;19/12/2019;13150
515;20/12/2019;13150
516;23/12/2019;13150
517;24/12/2019;13150
518;25/12/2019;13250
519;26/12/2019;13200
520;27/12/2019;13200
521;30/12/2019;13200
522;31/12/2019;13250
523;01/01/2020;-
524;02/01/2020;13300
525;03/01/2020;13250
526;06/01/2020;13350
527;07/01/2020;13350
528;08/01/2020;13400
529;09/01/2020;13400
530;10/01/2020;13450
531;13/01/2020;13750
532;14/01/2020;13800
533;15/01/2020;13850
534;16/01/2020;13900
535;17/01/2020;13900
536;20/01/2020;13950
537;21/01/2020;14000
538;22/01/2020;14000
539;23/01/2020;14000
540;24/01/2020;14000
541;27/01/2020;14000
542;28/01/2020;14000
543;29/01/2020;14000
544;30/01/2020;14000
545;31/01/2020;14000
546;03/02/2020;14000
547;04/02/2020;14000
548;05/02/2020;14000
549;06/02/2020;14000
550;07/02/2020;14000
551;10/02/2020;14050
552;11/02/2020;14000
553;12/02/2020;14000
554;13/02/2020;14050
555;14/02/2020;14050
556;17/02/2020;14150
557;18/02/2020;14200
558;19/02/2020;14250
559;20/02/2020;14300
560;21/02/2020;14300
561;24/02/2020;14350
562;25/02/2020;14400
563;26/02/2020;14450
564;27/02/2020;14500
565;28/02/2020;14500
566;02/03/2020;14700
567;03/03/2020;14950
568;04/03/2020;15200
569;05/03/2020;15550
570;06/03/2020;15800
571;09/03/2020;16400
572;10/03/2020;16350
573;11/03/2020;17400
574;12/03/2020;16550
575;13/03/2020;16600
576;16/03/2020;16700
577;17/03/2020;16750
578;18/03/2020;16900
579;19/03/2020;17000
580;20/03/2020;17100
581;23/03/2020;17450
582;24/03/2020;18850
583;25/03/2020;17400
584;26/03/2020;17900
585;27/03/2020;18000
586;30/03/2020;18250
587;31/03/2020;18350
588;01/04/2020;18400
589;02/04/2020;18350
590;03/04/2020;18500
591;06/04/2020;18500
592;07/04/2020;18500
593;08/04/2020;18550
594;09/04/2020;18550
595;10/04/2020;18750
596;13/04/2020;18600
597;14/04/2020;18600
598;15/04/2020;18700
599;16/04/2020;18700
600;17/04/2020;18650
601;20/04/2020;18550
602;21/04/2020;18550
603;22/04/2020;18550
604;23/04/2020;18500
605;24/04/2020;18500
606;27/04/2020;18350
607;28/04/2020;18350
608;29/04/2020;18250
609;30/04/2020;18250
610;01/05/2020;17000
611;04/05/2020;18000
612;05/05/2020;17950
613;06/05/2020;17900
614;07/05/2020;17400
615;08/05/2020;17850
616;11/05/2020;17600
617;12/05/2020;17550
618;13/05/2020;17500
619;14/05/2020;17450
620;15/05/2020;17400
621;18/05/2020;17300
622;19/05/2020;17250
623;20/05/2020;17150
624;21/05/2020;17300
625;22/05/2020;16350
626;25/05/2020;17250
627;26/05/2020;17000
628;27/05/2020;16950
629;28/05/2020;16900
630;29/05/2020;16850
631;01/06/2020;17050
632;02/06/2020;16700
633;03/06/2020;16600
634;04/06/2020;16450
635;05/06/2020;16350
636;08/06/2020;16200
637;09/06/2020;16100
638;10/06/2020;16100
639;11/06/2020;16000
640;12/06/2020;15950
641;15/06/2020;15750
642;16/06/2020;15700
643;17/06/2020;15600
644;18/06/2020;15550
645;19/06/2020;15500
646;22/06/2020;15350
647;23/06/2020;15350
648;24/06/2020;15250
649;25/06/2020;15250
650;26/06/2020;15200
651;29/06/2020;14950
652;30/06/2020;14900
653;01/07/2020;14850
654;02/07/2020;14700
655;03/07/2020;14650
656;06/07/2020;14550
657;07/07/2020;14500
658;08/07/2020;14450
659;09/07/2020;14450
660;10/07/2020;14350
661;13/07/2020;14250
662;14/07/2020;14250
663;15/07/2020;14200
664;16/07/2020;14150
665;17/07/2020;14050
666;20/07/2020;14000
667;21/07/2020;14000
668;22/07/2020;14000
669;23/07/2020;13950
670;24/07/2020;13950
671;27/07/2020;13950
672;28/07/2020;13900
673;29/07/2020;13900
674;30/07/2020;13900
675;31/07/2020;18000
676;03/08/2020;13900
677;04/08/2020;13900
678;05/08/2020;13900
679;06/08/2020;13850
680;07/08/2020;13900
681;10/08/2020;13850
682;11/08/2020;13850
683;12/08/2020;13850
684;13/08/2020;13850
685;14/08/2020;13850
686;17/08/2020;13150
687;18/08/2020;13800
688;19/08/2020;13800
689;20/08/2020;16950
690;21/08/2020;13650
691;24/08/2020;13750
692;25/08/2020;13700
693;26/08/2020;13700
694;27/08/2020;13700
695;28/08/2020;13700
696;31/08/2020;13700
697;01/09/2020;13700
698;02/09/2020;13650
699;03/09/2020;13700
700;04/09/2020;13700
701;07/09/2020;13650
702;08/09/2020;13600
703;09/09/2020;13600
704;10/09/2020;13600
705;11/09/2020;13600
706;14/09/2020;13600
707;15/09/2020;13600
708;16/09/2020;13550
709;17/09/2020;13550
710;18/09/2020;13550
711;21/09/2020;13550
712;22/09/2020;13500
713;23/09/2020;13500
714;24/09/2020;13500
715;25/09/2020;13500
716;28/09/2020;13500
717;29/09/2020;13450
718;30/09/2020;13450
719;01/10/2020;13450
720;02/10/2020;13450
721;05/10/2020;13450
722;06/10/2020;13450
723;07/10/2020;13450
724;08/10/2020;13450
725;09/10/2020;13450
726;12/10/2020;13450
727;13/10/2020;13450
728;14/10/2020;13450
729;15/10/2020;13450
730;16/10/2020;13450
731;19/10/2020;13450
732;20/10/2020;13450
733;21/10/2020;13450
734;22/10/2020;13400
735;23/10/2020;13400
736;26/10/2020;13400
737;27/10/2020;13400
738;28/10/2020;13650
739;29/10/2020;14250
740;30/10/2020;14050
741;02/11/2020;13450
742;03/11/2020;13450
743;04/11/2020;13450
744;05/11/2020;13450
745;06/11/2020;13450
746;09/11/2020;13450
747;10/11/2020;13450
748;11/11/2020;13450
749;12/11/2020;13450
750;13/11/2020;13450
751;16/11/2020;13450
752;17/11/2020;13500
753;18/11/2020;13500
754;19/11/2020;13500
755;20/11/2020;13450
756;23/11/2020;13450
757;24/11/2020;13450
758;25/11/2020;13450
759;26/11/2020;13450
760;27/11/2020;13450
761;30/11/2020;13450
762;01/12/2020;13450
763;02/12/2020;13450
764;03/12/2020;13450
765;04/12/2020;13450
766;07/12/2020;13450
767;08/12/2020;13450
768;09/12/2020;13700
769;10/12/2020;13450
770;11/12/2020;13450
771;14/12/2020;13450
772;15/12/2020;13450
773;16/12/2020;13450
774;17/12/2020;13450
775;18/12/2020;13450
776;21/12/2020;13450
777;22/12/2020;13500
778;23/12/2020;13450
779;24/12/2020;14500
780;25/12/2020;-
781;28/12/2020;13450
782;29/12/2020;13450
783;30/12/2020;13450
784;31/12/2020;13250
785;01/01/2021;-
786;04/01/2021;13500
787;05/01/2021;13500
788;06/01/2021;13500
789;07/01/2021;13500
790;08/01/2021;13500
791;11/01/2021;13500
792;12/01/2021;13500
